year,gender,Universidad_postulantes,Universidad_ingresantes,especialidad_subespecialidad_postulantes,especialidad_subespecialidad_ingresantes,ingreso
2013,1,UCS,NA,ANESTESIOLOGIA,NA,0
2013,1,UCS,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UCS,NA,CIRUGIA GENERAL,NA,0
2013,1,UCS,NA,MEDICINA DE EMERGENCIAS Y DESASTRES,NA,0
2013,0,UCS,NA,MEDICINA DE EMERGENCIAS Y DESASTRES,NA,0
2013,0,UCS,NA,MEDICINA DE EMERGENCIAS Y DESASTRES,NA,0
2013,1,UCS,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,NA,UCS,NA,MEDICINA FAMILIAR Y COMUNITARIA,NA,0
2013,1,UCS,NA,PEDIATRIA,NA,0
2013,1,UCS,NA,REUMATOLOGIA,NA,0
2013,1,UCS,NA,CIRUGIA GENERAL,NA,0
2013,0,UCS,NA,MEDICINA INTERNA,NA,0
2013,0,UCS,NA,MEDICINA FAMILIAR Y COMUNITARIA,NA,0
2013,1,UCS,NA,ANESTESIOLOGIA,NA,0
2013,NA,UCS,NA,REUMATOLOGIA,NA,0
2013,0,UCS,NA,REUMATOLOGIA,NA,0
2013,1,UCS,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UCS,NA,MEDICINA DE EMERGENCIAS Y DESASTRES,NA,0
2013,1,UCS,NA,PEDIATRIA,NA,0
2013,0,UCS,NA,PEDIATRIA,NA,0
2013,0,UCS,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,1,UCS,NA,PEDIATRIA,NA,0
2013,0,UCS,NA,CARDIOLOGIA,NA,0
2013,1,UCS,NA,DERMATOLOGIA,NA,0
2013,0,UCS,NA,REUMATOLOGIA,NA,0
2013,1,UCS,NA,PEDIATRIA,NA,0
2013,0,UCSM,NA,UROLOGIA,NA,0
2013,0,UCSM,NA,ORTOPEDIA Y TRAUMATOLOGIA,NA,0
2013,1,UCSM,NA,MEDICINA DE REHABILITACION,NA,0
2013,1,UCSM,NA,CIRUGIA ONCOLOGICA,NA,0
2013,0,UCSM,NA,ORTOPEDIA Y TRAUMATOLOGIA,NA,0
2013,1,UCSM,NA,ENDOCRINOLOGIA,NA,0
2013,0,UCSM,NA,ORTOPEDIA Y TRAUMATOLOGIA,NA,0
2013,0,UCSM,NA,CIRUGIA DE CABEZA Y CUELLO,NA,0
2013,0,UCSM,NA,CIRUGIA ONCOLOGICA,NA,0
2013,1,UCSM,NA,ENDOCRINOLOGIA,NA,0
2013,1,UCSM,NA,OFTALMOLOGIA,NA,0
2013,1,UCSM,NA,PEDIATRIA,NA,0
2013,1,UCSM,NA,ANATOMIA PATOLOGICA,NA,0
2013,0,UCSM,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UCSM,NA,MEDICINA ONCOLOGICA,NA,0
2013,1,UCSM,NA,ENDOCRINOLOGIA,NA,0
2013,1,UCSM,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UCSM,NA,CIRUGIA GENERAL,NA,0
2013,0,UCSM,NA,NEUMOLOGIA,NA,0
2013,1,UCSM,NA,DERMATOLOGIA,NA,0
2013,0,UCSM,NA,CIRUGIA DE CABEZA Y CUELLO,NA,0
2013,0,UCSM,NA,DERMATOLOGIA,NA,0
2013,1,UCSM,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UCSM,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UCSM,NA,MEDICINA DE REHABILITACION,NA,0
2013,1,UCSM,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,1,UCSM,NA,NEUMOLOGIA,NA,0
2013,1,UCSM,NA,MEDICINA DE EMERGENCIAS Y DESASTRES,NA,0
2013,1,UCSM,NA,ANATOMIA PATOLOGICA,NA,0
2013,0,UCSM,NA,ORTOPEDIA Y TRAUMATOLOGIA,NA,0
2013,1,UCSM,NA,DERMATOLOGIA,NA,0
2013,1,UCSM,NA,ENDOCRINOLOGIA,NA,0
2013,0,UCSM,NA,ENDOCRINOLOGIA,NA,0
2013,NA,UCSM,NA,PEDIATRIA,NA,0
2013,NA,UCSM,NA,MEDICINA INTERNA,NA,0
2013,0,UCSM,NA,RADIOLOGIA,NA,0
2013,1,UCSM,NA,OFTALMOLOGIA,NA,0
