year,Especialidad/SubEspecialidad_postulantes,Especialidad/SubEspecialidad_ingresantes,Universidad_postulantes,Universidad_ingresantes,gender,department_postulantes,department_ingresantes
2013,ANESTESIOLOGIA,NA,UCS,NA,F,Lima,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UCS,NA,F,Lima,NA
2013,CIRUGIA GENERAL,NA,UCS,NA,M,Lima,NA
2013,MEDICINA DE EMERGENCIAS Y DESASTRES,NA,UCS,NA,F,Lima,NA
2013,MEDICINA DE EMERGENCIAS Y DESASTRES,NA,UCS,NA,M,Lima,NA
2013,MEDICINA DE EMERGENCIAS Y DESASTRES,NA,UCS,NA,M,Lima,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UCS,NA,F,Lima,NA
2013,MEDICINA FAMILIAR Y COMUNITARIA,NA,UCS,NA,NA,Lima,NA
2013,PEDIATRIA,NA,UCS,NA,F,Lima,NA
2013,REUMATOLOGIA,NA,UCS,NA,F,Lima,NA
2013,CIRUGIA GENERAL,NA,UCS,NA,F,Lima,NA
2013,MEDICINA INTERNA,NA,UCS,NA,M,Lima,NA
2013,MEDICINA FAMILIAR Y COMUNITARIA,NA,UCS,NA,M,Lima,NA
2013,ANESTESIOLOGIA,NA,UCS,NA,F,Lima,NA
2013,REUMATOLOGIA,NA,UCS,NA,NA,Lima,NA
2013,REUMATOLOGIA,NA,UCS,NA,M,Lima,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UCS,NA,F,Lima,NA
2013,MEDICINA DE EMERGENCIAS Y DESASTRES,NA,UCS,NA,M,Lima,NA
2013,PEDIATRIA,NA,UCS,NA,F,Lima,NA
2013,PEDIATRIA,NA,UCS,NA,M,Lima,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UCS,NA,M,Lima,NA
2013,PEDIATRIA,NA,UCS,NA,F,Lima,NA
2013,CARDIOLOGIA,NA,UCS,NA,M,Lima,NA
2013,DERMATOLOGIA,NA,UCS,NA,F,Lima,NA
2013,REUMATOLOGIA,NA,UCS,NA,M,Lima,NA
2013,PEDIATRIA,NA,UCS,NA,F,Lima,NA
2013,UROLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,ORTOPEDIA Y TRAUMATOLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,MEDICINA DE REHABILITACION,NA,UCSM,NA,F,Arequipa,NA
2013,CIRUGIA ONCOLOGICA,NA,UCSM,NA,F,Arequipa,NA
2013,ORTOPEDIA Y TRAUMATOLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,ENDOCRINOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,ORTOPEDIA Y TRAUMATOLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,CIRUGIA DE CABEZA Y CUELLO,NA,UCSM,NA,M,Arequipa,NA
2013,CIRUGIA ONCOLOGICA,NA,UCSM,NA,M,Arequipa,NA
2013,ENDOCRINOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,OFTALMOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,PEDIATRIA,NA,UCSM,NA,F,Arequipa,NA
2013,ANATOMIA PATOLOGICA,NA,UCSM,NA,F,Arequipa,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UCSM,NA,M,Arequipa,NA
2013,MEDICINA ONCOLOGICA,NA,UCSM,NA,M,Arequipa,NA
2013,ENDOCRINOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UCSM,NA,F,Arequipa,NA
2013,CIRUGIA GENERAL,NA,UCSM,NA,M,Arequipa,NA
2013,NEUMOLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,DERMATOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,CIRUGIA DE CABEZA Y CUELLO,NA,UCSM,NA,M,Arequipa,NA
2013,DERMATOLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UCSM,NA,F,Arequipa,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UCSM,NA,M,Arequipa,NA
2013,MEDICINA DE REHABILITACION,NA,UCSM,NA,M,Arequipa,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UCSM,NA,F,Arequipa,NA
2013,NEUMOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,MEDICINA DE EMERGENCIAS Y DESASTRES,NA,UCSM,NA,F,Arequipa,NA
2013,ANATOMIA PATOLOGICA,NA,UCSM,NA,F,Arequipa,NA
2013,ORTOPEDIA Y TRAUMATOLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,DERMATOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,ENDOCRINOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,ENDOCRINOLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,PEDIATRIA,NA,UCSM,NA,NA,Arequipa,NA
2013,MEDICINA INTERNA,NA,UCSM,NA,NA,Arequipa,NA
2013,RADIOLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,OFTALMOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,DERMATOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,MEDICINA ONCOLOGICA,NA,UCSM,NA,M,Arequipa,NA
2013,DERMATOLOGIA,NA,UCSM,NA,NA,Arequipa,NA
2013,OTORRINOLARINGOLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,OTORRINOLARINGOLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,MEDICINA INTENSIVA,NA,UCSM,NA,M,Arequipa,NA
2013,ANESTESIOLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,MEDICINA ONCOLOGICA,NA,UCSM,NA,M,Arequipa,NA
2013,CIRUGIA GENERAL,NA,UCSM,NA,M,Arequipa,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UCSM,NA,F,Arequipa,NA
2013,DERMATOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,MEDICINA ONCOLOGICA,NA,UCSM,NA,M,Arequipa,NA
2013,OTORRINOLARINGOLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,NEUROCIRUGIA,NA,UCSM,NA,M,Arequipa,NA
2013,MEDICINA DE REHABILITACION,NA,UCSM,NA,M,Arequipa,NA
2013,CARDIOLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,NEUMOLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UCSM,NA,F,Arequipa,NA
2013,CIRUGIA ONCOLOGICA,NA,UCSM,NA,M,Arequipa,NA
2013,UROLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,RADIOLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,DERMATOLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,ANATOMIA PATOLOGICA,NA,UCSM,NA,F,Arequipa,NA
2013,HEMATOLOGIA CLINICA,NA,UCSM,NA,F,Arequipa,NA
2013,DERMATOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,ENDOCRINOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,MEDICINA FAMILIAR Y COMUNITARIA,NA,UCSM,NA,F,Arequipa,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UCSM,NA,M,Arequipa,NA
2013,CARDIOLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,DERMATOLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,CARDIOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,MEDICINA INTENSIVA,NA,UCSM,NA,F,Arequipa,NA
2013,ORTOPEDIA Y TRAUMATOLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,OFTALMOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,ENDOCRINOLOGIA,NA,UCSM,NA,NA,Arequipa,NA
2013,DERMATOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,OFTALMOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,RADIOTERAPIA,NA,UCSM,NA,F,Arequipa,NA
2013,ENDOCRINOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,MEDICINA ONCOLOGICA,NA,UCSM,NA,F,Arequipa,NA
2013,CIRUGIA DE CABEZA Y CUELLO,NA,UCSM,NA,M,Arequipa,NA
2013,RADIOLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,NEUROCIRUGIA,NA,UCSM,NA,F,Arequipa,NA
2013,ENDOCRINOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,OTORRINOLARINGOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,CIRUGIA DE CABEZA Y CUELLO,NA,UCSM,NA,F,Arequipa,NA
2013,OFTALMOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,UROLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,ANESTESIOLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,NEUROLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,DERMATOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,CIRUGIA ONCOLOGICA,NA,UCSM,NA,F,Arequipa,NA
2013,OTORRINOLARINGOLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,CIRUGIA GENERAL,NA,UCSM,NA,F,Arequipa,NA
2013,MEDICINA INTENSIVA,NA,UCSM,NA,M,Arequipa,NA
2013,UROLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,MEDICINA ONCOLOGICA,NA,UCSM,NA,F,Arequipa,NA
2013,UROLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,MEDICINA DE EMERGENCIAS Y DESASTRES,NA,UCSM,NA,M,Arequipa,NA
2013,PEDIATRIA,NA,UCSM,NA,M,Arequipa,NA
2013,ANESTESIOLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,ENDOCRINOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,DERMATOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,ENDOCRINOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,PEDIATRIA,NA,UCSM,NA,F,Arequipa,NA
2013,PEDIATRIA,NA,UCSM,NA,F,Arequipa,NA
2013,MEDICINA DE REHABILITACION,NA,UCSM,NA,F,Arequipa,NA
2013,RADIOTERAPIA,NA,UCSM,NA,F,Arequipa,NA
2013,DERMATOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,NEUROLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,NEUROLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,OTORRINOLARINGOLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,OFTALMOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UCSM,NA,F,Arequipa,NA
2013,MEDICINA DE REHABILITACION,NA,UCSM,NA,M,Arequipa,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UCSM,NA,F,Arequipa,NA
2013,ENDOCRINOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,DERMATOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,DERMATOLOGIA,NA,UCSM,NA,M,Arequipa,NA
2013,NEONATOLOGIA,NA,UCSM,NA,F,Arequipa,NA
2013,MEDICINA FAMILIAR Y COMUNITARIA,NA,UCV,NA,F,La Libertad,NA
2013,MEDICINA FAMILIAR Y COMUNITARIA,NA,UCV,NA,M,La Libertad,NA
2013,MEDICINA INTERNA,NA,UCV,NA,F,La Libertad,NA
2013,NEFROLOGIA,NA,UCV,NA,F,La Libertad,NA
