name,gender
aad,M
aadam,M
aadje,F
aadu,M
aaf,F
aafkea,F
aafko,M
aage,M
aagje,F
aagot,F
aagoth,F
aalbert,M
aalderich,M
aalderk,M
aaldrik,M
aale,M
aaliyah,F
aalke,F
aalt,M
aaltien,F
aaltinus,M
aaltje,F
aaltsje,F
aamir,M
aant,F
aapeli,M
aapo,M
aappo,M
aard,M
aare,M
aarent,M
aarjan,M
aarne,M
aarni,M
aarno,M
aarnoud,M
aarnout,M
aaro,M
aarre,M
aarron,M
aart,M
aarti,F
aase,F
aashild,F
aat,M
aatami,M
aatos,M
aatto,M
aatu,M
aave,F
aavo,M
ab,M
abad,M
abagail,F
abai,M
abas,M
abay,M
abaz,M
abbas,M
abbey,F
abbie,F
abbigail,F
abbo,M
abbondanza,F
abbondanzio,M
abbondio,M
abby,F
abdalla,M
abdallah,M
abdelilah,M
abdellah,M
abdeslam,M
abdi,M
abdija,M
abdo,M
abdorassoul,M
abdou,M
abdoul,M
abdu,M
abduh,M
abdulah,M
abdulbaki,M
abdulcabbar,M
abdulhakim,M
abdulhalim,M
abdulhamid,M
abdulilah,M
abdulkader,M
abdulkadyr,M
abdulla,M
abdullah,M
abdullatif,M
abdulmalik,M
abdulmedjit,M
abdurahman,M
abdurrahim,M
abdurrahman,M
abdyl,M
abe,M
abed,M
abeda,F
abedin,M
abeer,F
abele,M
abelia,F
abeline,F
abelio,M
abelius,M
abelle,F
abha,F
abhay,M
abhilasha,F
abid,M
abida,F
abidin,M
abigael,F
abigaelle,F
abigale,F
abigayle,F
abir,F
abla,F
ablah,F
abner,M
abraao,M
abram,M
abramina,F
abramo,M
abrar,M
abrytha,F
abubekir,M
abuzar,M
abuzer,M
aby,F
abygael,F
abygaelle,F
aca,M
accursia,F
accursio,M
achaz,M
achicam,M
achikam,M
achilina,F
achille,M
achilleas,M
achillefs,M
achim,M
achiropita,F
achraf,M
acilino,M
acim,M
acke,M
acko,M
aco,M
aculina,F
acurcio,M
ad,M
adair,M
adakras,M
adalbert,M
adalberta,F
adalbjorg,F
adalbjorn,M
adalciza,F
adalet,F
adalgeir,M
adalgira,F
adalgisa,F
adalgiso,M
adalheidur,F
adalmiina,F
adalsteinn,M
adamantia,F
adamantini,F
adamantios,M
adamira,F
adamo,M
adaniel,M
adao,M
adar,M
adarsh,?
addi,F
addison,?
addolorata,F
addolorato,M
ade,F
adea,F
adeele,F
adelaido,M
adelajde,F
adelbert,M
adelchi,M
adelfa,F
adelfo,M
adelfried,M
adelgund,F
adelgunde,F
adelhard,M
adelheid,F
adelheide,F
adelie,F
adelin,M
adelina,F
adelinda,F
adelinde,F
adelindo,M
adeline,F
adelino,M
adelisa,F
adeliya,F
adella,F
adelle,F
adelma,F
adelmar,M
adelmina,F
adelmino,M
adelmira,F
adelmo,M
adelo,M
adelphine,F
adeltraud,F
adeltraut,F
adeluta,F
adelya,F
adelyne,F
adem,M
ademar,M
ademara,F
ademaro,M
aden,M
adeodata,F
adeodato,M
aderita,F
adham,M
adhemar,M
adhurim,M
adib,M
adiba,F
adil,M
adila,F
adilbek,M
adile,F
adilkhan,M
adin,M
adina,F
adinda,F
adine,F
adinel,M
adino,M
adir,M
adis,M
adisa,F
aditya,M
adiya,F
adje,F
adjuto,M
admeto,M
admir,M
admira,F
admirim,M
adnan,M
adnana,F
adnand,M
adne,M
ado,M
adolf,M
adolfa,F
adolfas,M
adolfina,F
adolfine,F
adolfs,M
adolina,F
adolph,M
adolphe,M
adolphine,F
adolphus,M
adomas,M
adone,M
adonis,M
adoram,M
adorata,F
adorjan,M
adorna,F
adorno,M
adosinda,F
adosinha,F
adrasto,M
adri,?
adriaan,M
adriane,F
adrianna,F
adrianne,F
adriano,M
adrians,M
adrianus,M
adriao,M
adriatik,M
adrie,?
adrielle,F
adrien,M
adriena,F
adrienn,F
adrijan,M
adrijana,F
adrio,M
adu,M
adua,F
aduo,M
advija,M
ady,F
aedal,F
aedin,M
aeihso,M
aeilt,M
aelbert,M
aelita,F
aeneas,M
aengus,M
aenne,F
aerend,M
aernout,M
aeron,F
aeronwen,F
aeronwy,F
aert,M
afa,F
afaf,F
afag,F
afanasie,M
afanasii,M
afanasijs,M
afaq,F
afat,F
afelien,F
afet,F
affie,F
afgan,M
afia,F
afie,F
afif,M
afifa,F
afifah,F
afiya,F
afke,F
afonso,M
afra,F
afrim,M
afro,M
afrodita,F
afroditi,F
