especialidad_postulantes,gender,year,universidad_postulantes,universidad_ingresantes,especialidad_ingresantes,ingreso
ADMINISTRACION Y GESTION EN SALUD,0,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2013,UNSA,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2013,UNSA,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2013,UNSA,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2013,UPCH,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2013,UPCH,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2013,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2013,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2013,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2013,USMP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2013,USMP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UNSA,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UNSA,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UNSA,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,UPCH,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,USMP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,USMP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,USMP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,USMP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,USMP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2014,USMP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,UPCH,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,UPCH,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,UPCH,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,UPCH,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,UPCH,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,USMP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,USMP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2015,USMP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2016,UNC,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2016,UNMSM,UNMSM,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2016,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2016,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2016,UNMSM,UNMSM,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2016,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2016,UNMSM,NA,NA,0
