universidad,especialidad,ingreso,genero,year,especialidad_quirurgica,especialidad_tipo,subespecialidad,region
UCS,ANESTESIOLOGIA,NA,1,2013,0,clinica,0,Lima
UCS,GINECOLOGIA Y OBSTETRICIA,NA,1,2013,1,medico_quirurgica,0,Lima
UCS,CIRUGIA GENERAL,NA,0,2013,1,quirurgica,0,Lima
UCS,MEDICINA DE EMERGENCIAS Y DESASTRES,NA,1,2013,0,medico_quirurgica,0,Lima
UCS,MEDICINA DE EMERGENCIAS Y DESASTRES,NA,0,2013,0,medico_quirurgica,0,Lima
UCS,MEDICINA DE EMERGENCIAS Y DESASTRES,NA,0,2013,0,medico_quirurgica,0,Lima
UCS,GINECOLOGIA Y OBSTETRICIA,NA,1,2013,1,medico_quirurgica,0,Lima
UCS,MEDICINA FAMILIAR Y COMUNITARIA,NA,NA,2013,0,clinica,0,Lima
UCS,PEDIATRIA,NA,1,2013,0,clinica,0,Lima
UCS,REUMATOLOGIA,NA,1,2013,0,clinica,0,Lima
UCS,CIRUGIA GENERAL,NA,1,2013,1,quirurgica,0,Lima
UCS,MEDICINA INTERNA,NA,0,2013,0,clinica,0,Lima
UCS,MEDICINA FAMILIAR Y COMUNITARIA,NA,0,2013,0,clinica,0,Lima
UCS,ANESTESIOLOGIA,NA,1,2013,0,clinica,0,Lima
UCS,REUMATOLOGIA,NA,NA,2013,0,clinica,0,Lima
UCS,REUMATOLOGIA,NA,0,2013,0,clinica,0,Lima
UCS,GINECOLOGIA Y OBSTETRICIA,NA,1,2013,1,medico_quirurgica,0,Lima
UCS,MEDICINA DE EMERGENCIAS Y DESASTRES,NA,0,2013,0,medico_quirurgica,0,Lima
UCS,PEDIATRIA,NA,1,2013,0,clinica,0,Lima
UCS,PEDIATRIA,NA,0,2013,0,clinica,0,Lima
UCS,GINECOLOGIA Y OBSTETRICIA,NA,0,2013,1,medico_quirurgica,0,Lima
UCS,PEDIATRIA,NA,1,2013,0,clinica,0,Lima
UCS,CARDIOLOGIA,NA,0,2013,0,clinica,0,Lima
UCS,DERMATOLOGIA,NA,1,2013,0,medico_quirurgica,0,Lima
UCS,REUMATOLOGIA,NA,0,2013,0,clinica,0,Lima
UCS,PEDIATRIA,NA,1,2013,0,clinica,0,Lima
UCSM,UROLOGIA,NA,0,2013,1,medico_quirurgica,0,Sur
UCSM,ORTOPEDIA Y TRAUMATOLOGIA,NA,0,2013,1,medico_quirurgica,0,Sur
UCSM,MEDICINA DE REHABILITACION,NA,1,2013,0,clinica,0,Sur
UCSM,CIRUGIA ONCOLOGICA,NA,1,2013,1,quirurgica,0,Sur
UCSM,ORTOPEDIA Y TRAUMATOLOGIA,NA,0,2013,1,medico_quirurgica,0,Sur
UCSM,ENDOCRINOLOGIA,NA,1,2013,0,clinica,0,Sur
