"year"	"n_postulantes"	"n_genero"	"p_genero"	"n_mujeres"	"p_mujeres"	"n_hombres"	"p_hombres"
2013	5259	5023	0.955124548393231	2206	0.439179773043998	2817	0.560820226956002
2014	6280	5922	0.942993630573248	2539	0.428740290442418	3383	0.571259709557582
2015	6255	5904	0.943884892086331	2572	0.435636856368564	3332	0.564363143631436
2016	6005	5678	0.945545378850958	2529	0.445403311025009	3149	0.554596688974991
2017	6367	5976	0.938589602638605	2712	0.453815261044177	3264	0.546184738955823
2018	6472	6030	0.931705809641533	2771	0.459535655058043	3259	0.540464344941957
2019	6651	6199	0.932040294692527	2979	0.480561380867882	3220	0.519438619132118
2020	4961	4597	0.926627696029026	2305	0.501413965629758	2292	0.498586034370241
2021	5102	4638	0.90905527244218	2233	0.48145752479517	2405	0.51854247520483
2022	6538	5817	0.889721627408994	2797	0.480832044008939	3020	0.519167955991061
2023	7117	6309	0.886469017844597	3135	0.496909177365668	3174	0.503090822634332
