"especialidad"	"n_postulantes"	"n_genero"	"p_genero"	"n_mujeres"	"p_mujeres"	"n_hombres"	"p_hombres"
"ADMINISTRACION Y GESTION EN SALUD"	508	476	0.937007874015748	268	0.563025210084034	208	0.436974789915966
"ADOLESCENTOLOGIA"	2	2	1	2	1	0	0
"ANATOMIA PATOLOGICA"	431	394	0.91415313225058	283	0.718274111675127	111	0.281725888324873
"ANESTESIOLOGIA"	2796	2590	0.926323319027182	1541	0.594980694980695	1049	0.405019305019305
"ANESTESIOLOGIA CARDIOVASCULAR"	68	61	0.897058823529412	30	0.491803278688525	31	0.508196721311475
"CARDIOLOGIA"	1748	1639	0.937643020594966	482	0.294081757169005	1157	0.705918242830994
"CARDIOLOGIA PEDIATRICA"	118	111	0.940677966101695	47	0.423423423423423	64	0.576576576576577
"CIRUGIA CARDIOVASCULAR PEDIATRICA"	12	6	0.5	0	0	6	1
"CIRUGIA COLORECTAL"	11	11	1	2	0.181818181818182	9	0.818181818181818
"CIRUGIA DE CABEZA, CUELLO Y MAXILOFACIAL"	561	519	0.925133689839572	210	0.404624277456647	309	0.595375722543353
"CIRUGIA DE COLON, RECTO Y ANO"	26	26	1	11	0.423076923076923	15	0.576923076923077
"CIRUGIA DE MANO"	64	56	0.875	9	0.160714285714286	47	0.839285714285714
"CIRUGIA DE RETINA Y VITREO"	87	83	0.954022988505747	35	0.421686746987952	48	0.578313253012048
"CIRUGIA DE TORAX ONCOLOGICA"	3	2	0.666666666666667	1	0.5	1	0.5
"CIRUGIA DE TORAX Y CARDIOVASCULAR"	959	881	0.91866527632951	204	0.23155505107832	677	0.76844494892168
"CIRUGIA GENERAL"	4411	4111	0.931988211289957	1045	0.254196059352955	3066	0.745803940647044
"CIRUGIA HEPATOPANCREATOBILIAR Y TRANSPLANTE"	48	45	0.9375	5	0.111111111111111	40	0.888888888888889
"CIRUGIA ONCOLOGICA"	937	867	0.925293489861259	235	0.271049596309112	632	0.728950403690888
"CIRUGIA ONCOLOGICA ABDOMINAL"	57	54	0.947368421052632	10	0.185185185185185	44	0.814814814814815
"CIRUGIA ONCOLOGICA DE CABEZA Y CUELLO"	24	23	0.958333333333333	4	0.173913043478261	19	0.826086956521739
"CIRUGIA ONCOLOGICA DE MAMAS, TEJIDOS"	36	35	0.972222222222222	12	0.342857142857143	23	0.657142857142857
"CIRUGIA ONCOLOGICA DE MAMAS, TEJIDOS BLANDOS Y PIEL"	11	11	1	4	0.363636363636364	7	0.636363636363636
"CIRUGIA ONCOLOGICA GINECOLOGICA"	2	2	1	0	0	2	1
"CIRUGIA PEDIATRICA"	676	624	0.923076923076923	389	0.623397435897436	235	0.376602564102564
"CIRUGIA PLASTICA Y RECONSTRUCTIVA"	1387	1306	0.941600576784427	431	0.330015313935681	875	0.669984686064318
"DERMATOLOGIA"	2173	2030	0.934192360791532	1433	0.705911330049261	597	0.294088669950739
"DERMATOLOGIA PEDIATRICA"	39	39	1	29	0.743589743589744	10	0.256410256410256
"EMERGENCIAS PEDIATRICAS"	1	1	1	0	0	1	1
"ENDOCRINOLOGIA"	1280	1193	0.93203125	765	0.641240569991618	428	0.358759430008382
"ENDOCRINOLOGIA PEDIATRICA"	93	91	0.978494623655914	69	0.758241758241758	22	0.241758241758242
"GASTROENTEROLOGIA"	2479	2323	0.937071399757967	1117	0.480843736547568	1206	0.519156263452432
"GASTROENTEROLOGIA PEDIATRICA"	66	65	0.984848484848485	36	0.553846153846154	29	0.446153846153846
"GENETICA MEDICA"	75	72	0.96	41	0.569444444444444	31	0.430555555555556
"GERIATRIA"	487	446	0.915811088295688	319	0.7152466367713	127	0.2847533632287
"GINECOLOGIA ONCOLOGICA"	294	284	0.965986394557823	58	0.204225352112676	226	0.795774647887324
"GINECOLOGIA Y OBSTETRICIA"	4248	3933	0.925847457627119	1785	0.453852021357742	2148	0.546147978642258
