"year"	"genero"	"especialidad_quirurgica"	"n"
2013	0	0	1527
2013	0	1	1290
2013	1	0	1634
2013	1	1	572
2013	NA	0	133
2013	NA	1	103
2014	0	0	1745
2014	0	1	1638
2014	1	0	1864
2014	1	1	675
2014	NA	0	235
2014	NA	1	123
2015	0	0	1650
2015	0	1	1682
2015	1	0	1876
2015	1	1	696
2015	NA	0	212
2015	NA	1	139
2016	0	0	1514
2016	0	1	1635
2016	1	0	1855
2016	1	1	674
2016	NA	0	207
2016	NA	1	120
2017	0	0	1649
2017	0	1	1615
2017	1	0	1994
2017	1	1	718
2017	NA	0	236
2017	NA	1	155
2018	0	0	1541
2018	0	1	1718
2018	1	0	1931
2018	1	1	840
2018	NA	0	262
2018	NA	1	180
2019	0	0	1550
2019	0	1	1670
2019	1	0	2120
2019	1	1	859
2019	NA	0	266
2019	NA	1	186
2020	0	0	1178
2020	0	1	1114
2020	1	0	1681
2020	1	1	624
2020	NA	0	223
2020	NA	1	141
2021	0	0	225
2021	0	1	178
2021	1	0	450
2021	1	1	85
2021	NA	0	72
2021	NA	1	20
2022	0	0	258
2022	0	1	264
2022	1	0	549
2022	1	1	149
2022	NA	0	108
2022	NA	1	48
2023	0	0	1393
2023	0	1	1781
2023	1	0	2017
2023	1	1	1118
2023	NA	0	423
2023	NA	1	385
